;lsa-0 fit;lsa-10 fit;lsa-20 fit;lsa-30 fit;lsa-40 fit
lsa-0 fit;0,000000;0,097792;0,152759;0,207606;0,210413
lsa-10 fit;0,090945;0,000000;0,129705;0,211072;0,215372
lsa-20 fit;0,029722;0,021613;0,000000;0,012534;0,013113
lsa-30 fit;0,038546;0,043820;0,013077;0,000000;0,008454
lsa-40 fit;0,028341;0,021655;0,005651;0,007422;0,000000
