;lsa-0 fit;lsa-10 fit;lsa-20 fit;lsa-30 fit;lsa-40 fit
lsa-0 fit;0.0;0.09779171761436822;0.15275893930658788;0.20760614454068463;0.21041324872780065
lsa-10 fit;0.0909451762655163;0.0;0.12970502463118286;0.21107246578081446;0.21537179321844843
lsa-20 fit;0.029721772362416188;0.021613086495819046;0.0;0.012533756079999294;0.01311294673361648
lsa-30 fit;0.038545689668703975;0.043819956319049704;0.013077470755313104;0.0;0.008453654461656763
lsa-40 fit;0.02834130099099775;0.021655493418924553;0.0056509293124400815;0.007421924210016769;0.0
